,index,from,to
0,1072,a,a
1,918,ai,ae
2,954,ai,ae
3,916,an,am
4,915,an,an
5,952,an,an
6,1015,an,an
7,1076,ao,o
8,579,ba,bal
9,1624,ba,pa
10,1522,ba,pal
11,491,bai,bae
12,492,bai,baeg
13,519,bai,baeg
14,611,bai,baeg
15,1544,bai,pae
16,533,ban,ban
17,578,ban,ban
18,629,ban,ban
19,1582,ban,pan
20,1625,ban,pan
21,609,bang,bang
22,649,bang,bang
23,500,bao,bo
24,536,bao,bo
25,644,bao,bo
26,1546,bao,po
27,1586,bao,po
28,1609,bao,po
29,1627,bao,po
30,1528,bao,pog
31,1587,bao,pog
32,518,bei,bae
33,581,bei,bae
34,650,bei,bae
35,654,bei,bae
36,721,bei,bi
37,772,bei,bi
38,825,bei,bi
39,871,bei,bi
40,658,bei,bug
41,1523,bei,pae
42,1612,bei,pi
43,502,ben,bon
44,850,ben,bun
45,787,beng,bung
46,662,bi,bi
47,760,bi,bi
48,851,bi,bi
49,586,bi,byeog
50,614,bi,byeog
51,1548,bi,pi
52,1629,bi,pi
53,1642,bi,pil
54,1695,bi,pil
55,1715,bi,pil
56,1526,bi,pye
57,1626,bi,pye
58,1636,bi,pye
59,1640,bi,pye
60,497,bian,byeon
61,587,bian,byeon
62,615,bian,byeon
63,634,bian,byeon
64,1545,bian,pyeon
65,1583,bian,pyeon
66,1607,bian,pyeon
67,1529,biao,pyo
68,1611,biao,pyo
69,498,bie,byeol
70,790,bin,bin
71,664,bing,bing
72,499,bing,byeong
73,520,bing,byeong
74,535,bing,byeong
75,588,bing,byeong
76,582,bo,baeg
77,577,bo,bag
78,647,bo,bag
79,653,bo,bag
80,1543,bo,pa
81,1605,bo,pa
82,521,bu,bo
83,635,bu,bo
84,636,bu,bog
85,759,bu,bu
86,822,bu,bu
87,660,bu,bul
88,1527,bu,po
89,1641,bu,po
90,1325,cai,chae
91,1355,cai,chae
92,1429,cai,chae
93,1111,cai,jae
94,1139,cai,jae
95,1158,cai,jae
96,1323,can,cham
97,1427,can,cham
98,1456,can,cham
99,1244,can,jam
100,1219,can,jan
101,1428,cang,chang
102,1473,cang,chang
103,1483,cang,chang
104,1283,cang,jang
105,1533,cao,cho
106,1466,cao,jo
107,1356,ce,chaeg
108,1430,ce,chaeg
109,1563,ce,cheug
110,1596,ce,cheug
111,1564,ceng,cheung
112,1313,ceng,jeung
113,1424,cha,cha
114,1322,cha,chal
115,376,cha,da
116,896,cha,sa
117,702,chan,san
118,858,chan,seon
119,1324,chang,chang
120,1354,chang,chang
121,1490,chang,chang
122,1110,chang,jang
123,1157,chang,jang
124,1247,chang,jang
125,726,chang,sang
126,798,chang,sang
127,832,chang,sang
128,876,chang,sang
129,1590,chao,cho
130,1613,chao,cho
131,1493,chao,jo
132,69,che,cha
133,1461,che,cheol
134,1317,chen,jin
135,1482,chen,jin
136,988,chen,sin
137,1042,chen,sin
138,1568,cheng,ching
139,1476,cheng,jeong
140,1453,cheng,jing
141,732,cheng,seong
142,752,cheng,seong
143,766,cheng,seong
144,903,cheng,seung
145,944,cheng,seung
146,1328,chi,cheog
147,1432,chi,cheog
148,1553,chi,chi
149,1618,chi,chi
150,1141,chi,jeog
151,1404,chi,ji
152,1419,chi,ji
153,1481,chi,ji
154,1557,chong,chong
155,1502,chong,chung
156,1551,chong,chung
157,1561,chong,chung
158,693,chong,sung
159,1559,chou,chu
160,1593,chou,chu
161,1499,chou,chug
162,1562,chou,chwi
163,770,chou,su
164,1357,chu,cheo
165,1495,chu,cho
166,1630,chu,cho
167,1614,chu,chog
168,1560,chu,chug
169,1501,chu,chul
170,1400,chu,je
171,1374,chuan,cheon
172,1360,chuan,jeon
173,776,chuan,seon
174,1373,chuang,chang
175,1457,chuang,chang
176,887,chuang,sang
177,1538,chui,chwi
178,1500,chun,chun
