,kor,eng
0,손해,"(물질적) damage (to); (금전적) loss | [2] indemnity insurance, property (damage) insurance"
1,짓,act | [2] (특히 얼굴의) 여드름
2,작업,"work, (일, 노동) job; (특히 군인·경찰들의) operation(s) | [2] while at work"
3,기초적,"basic  , elementary  , rudimentary  , fundamental | [2] fundamental disequilibrium"
4,끝끝내,"to the last, to the (bitter) end, to the last extremity, persistently, stubbornly, tenaciously | [2] contend[fight] to a finish[the last ditch]"
5,무너지다,"(건물이) collapse, crumble (away); (무게·압력 등으로) give way; (지붕·벽 등이) cave in | [2] 붕괴되다"
6,고작,"only, just, barely, no more than, at (the) most | [2] "
7,돌이키다,(과거를 돌아보다) look back (on); (곰곰이 생각하다) reflect (on) | [2] turn round
8,긋다,(선을) draw; (자 등을 이용해) rule | [2] draw a stroke
9,쓰이다,"(사용되다) be used, serve as | [2] (글·글씨 등이) be written read, say,"
10,단계,"stage, phase, step | [2] an experimental stage[phase]"
11,외면하다,"turn one's face away; look away; [무시하다] disregard. | [2] (얼굴을) [동사] look away (from), turn away (from), look the other way, turn one's back (on); (피하다) avoid"
12,거듭,"again, once again, once more, repeatedly | [2] repeat"
13,넘기다,(경계를 넘어가게 하다) | [2] pass[speed on] the old year
14,대수롭다,(중요하게 여길 만하다) | [2] 
15,침목,"a sleeper (영), a tie (미), a cross-tie (미), a block, a rail tie | [2] a sleeper"
16,견디다,"bear, (참다) endure tolerate, put up with; (주로 부정문·의문문에 쓰여) stand | [2] be unbearable"
17,억지로,against one's will | [2] force a smile[laugh]
18,복귀하다,"[동사] return (to), come back (to), make[stage] a comeback | [2] return to one's unit"
19,구조하다,"rescue | [2] [명사] rescue, help, [동사] rescue (sb from sth), save (sb from sth)"
20,비키다,"step[stand] aside, (길을) move, make way (for) | [2] step aside"
21,들키다,"be[get] caught, be discovered | [2] be caught red-handed"
22,처벌하다,"punishment; (법률상의) penalty, punish | [2] punish sb severely"
23,가반히, | [2] 
24,사사롭다,personal | [2] 
25,엉망진창,"wreck, mess, ruin  | [2] Everything is out of order."
26,정체,"(교통이) (Am) tie-up, be congested, be tied up | [2] (신분, 신원) identity; (본모습) one's true colors"
27,잔뜩,(꽉 차게) | [2] eat[drink] one's fill
28,도전,"(싸움을 걸다) [명사] challenge; (권위에 대한) defiance, [동사] challenge (sb to sth); (권위에) defy | [2] the challenge to the presidency"
29,적용하다,"[명사] application, [동사] apply (to) | [2] apply a rule"
30,정지,"(움직이던 것이 멈춤) stop, halt, standstill, stop, halt, come to a stop[halt, standstill] | [2] 멈추다"
31,효력,"(약 등의) effect, effectiveness, (formal) efficacy | [2] the force of the law"
32,미만, | [2] under
33,위중,위중하다 [서술적] be dangerously [critically] ill; be in a critical condition. | [2] critical
34,얼른,"(빨리) quickly; (즉시) promptly, immediately, instantly, at once, right away, offhand; (곧) soon | [2] Let's hop to it."
35,하여튼,"(S) anyway, (S) anyhow, (S) at any rate, in any case | [2] What imagination!"
36,예민하다,"(감각이) keen, acute, sensitive, sharp | [2] be keen of hearing"
37,촌스럽다,countrified | [2] 
38,우습다,"(웃기다, 재미있다) funny, humorous, amusing, comic(al), hilarious | [2] "
39,넘치다,"(물이) overflow, run over, brim over (with); (범람하다) flood | [2] boil over"
40,영영,"forever, for good (and all), eternally, permanently | [2] leave one´s homeland permanently[for good]"
41,척하다,pretend (to do) | [2] (그럴듯하게 꾸미는 태도·모양)
42,이만,"(정도) to this extent[degree], this far[high] | [2] So much for this today."
43,서신,"letter, (literary) epistle | [2] a letter telegram"
44,안팎,"(안과 밖) (the) inside and outside, interior and exterior | [2] within and without"
45,차도,"(도로, 찻길) street, road(way) | [2] (병이 낫는 정도) improvement"
46,기절,"[동사] faint, pass out, black out, lose consciousness | [2] deprive 《a person》 of his senses"
47,서투르다,"(미숙하다) poor (at), unskilled; (동작 등이) clumsy; (익숙하지 않다) unaccustomed to, unfamiliar with | [2] be unfamiliar with things Korean"
